authors,citations
Fernando C. N. Pereira;Yoram Singer,43
Robert E. Schapire,50
Robert E. Schapire,15
Robert E. Schapire,43
Robert E. Schapire;Yoram Singer,2375
Vladimir Vapnik,56
Manfred K. Warmuth,9
Manfred K. Warmuth,6
Manfred K. Warmuth,0
Manfred K. Warmuth,4
Tomasz Imielinski,0
Manuel Blum,610
Richard E. Ladner,3
Michael Stonebraker,6
Jeffrey D. Ullman,10
Gio Wiederhold,1
Pankaj K. Agarwal,32
Pankaj K. Agarwal,88
Pankaj K. Agarwal;Micha Sharir,9
Pankaj K. Agarwal;Micha Sharir,53
Pankaj K. Agarwal;Micha Sharir,23
Pankaj K. Agarwal;Micha Sharir,92
Pankaj K. Agarwal;Micha Sharir,33
Subhash Suri,20
Bernard Chazelle,5
David Eppstein,50
Michael T. Goodrich,56
Michael T. Goodrich,43
Michael T. Goodrich;Roberto Tamassia,46
Piotr Indyk,26
Joseph S. B. Mitchell,45
Joseph S. B. Mitchell,115
Joseph S. B. Mitchell;Christos H. Papadimitriou,61
Joseph S. B. Mitchell;Micha Sharir,45
Rajeev Motwani;Prabhakar Raghavan,5
Micha Sharir,18
Micha Sharir,84
David Eppstein,17
Leslie Lamport,56
Ming-Syan Chen,11
Charles E. Perkins,4
Charles E. Perkins,61
Daniel Thalmann;Nadia Magnenat-Thalmann,22
Yiyu Yao,118
Yiyu Yao,28
Eric Yu,0
Russell H. Taylor,497
Henning Schulzrinne,14
Gul Agha,22
Rajeev Alur,2
Rajeev Alur,2
Rajeev Alur;Thomas A. Henzinger,150
Rajeev Alur;Mihalis Yannakakis,290
Luca Cardelli,3
Luca Cardelli,16
Joseph Y. Halpern;Ronald Fagin,191
David Harel,3
Thomas A. Henzinger,104
Robin Milner,129
Robin Milner,151
Robin Milner,1
Pierre Wolper;Patrice Godefroid,163
Moshe Y. Vardi,0
Moshe Y. Vardi,21
Joseph Y. Halpern,19
Monica S. Lam,25
John M. Carroll,10
Karl Aberer,592
Gustavo Alonso,8
Philip A. Bernstein,46
Maurizio Lenzerini,39
John Mylopoulos,0
Fabio Casati,3
Boi Faltings,33
Barry Smith,12
Barry Smith,205
Barry Smith,18
Manish Gupta,0
Rajiv Gupta,1
Pascal Van Hentenryck,20
Pascal Van Hentenryck,0
Ian Horrocks,48
Tuomas Sandholm,66
Tuomas Sandholm,6
Bart Selman,2
Toby Walsh,230
Toby Walsh,27
Toby Walsh,38
Toby Walsh,50
Toby Walsh,27
Pascal Van Hentenryck,0
Mark Crovella,70
S. Muthukrishnan,6
S. Muthukrishnan,48
Gonzalo Navarro,8
Uzi Vishkin,0
Uzi Vishkin,0
S. Muthukrishnan,0
Prabhakar Raghavan,2
Tao Jiang,6
Eli Biham;Adi Shamir,788
Mihir Bellare;Ran Canetti;Hugo Krawczyk,1189
Mihir Bellare;Shafi Goldwasser,87
Mihir Bellare;Oded Goldreich,399
Mihir Bellare;Oded Goldreich;Shafi Goldwasser,214
Mihir Bellare;Oded Goldreich;Hugo Krawczyk,44
Mihir Bellare;Silvio Micali,74
Mihir Bellare;Silvio Micali,248
Manuel Blum;Shafi Goldwasser,311
Mihir Bellare;Amit Sahai,126
Mihir Bellare;Moti Yung,22
Eli Biham;Adi Shamir,1680
Eli Biham;Adi Shamir,126
Eli Biham;Adi Shamir,376
Jan Camenisch;Victor Shoup,322
Ran Canetti,227
Ran Canetti;Cynthia Dwork;Moni Naor;Rafail Ostrovsky,180
Dan Boneh,143
Ran Canetti;Hugo Krawczyk,119
Dan Boneh;Moni Naor,172
Ivan Damgård,52
Ivan Damgård,155
Ivan Damgård,45
Ivan Damgård,178
Cynthia Dwork,11
Cynthia Dwork;Moni Naor,547
Cynthia Dwork;Moni Naor,82
Cynthia Dwork;Amit Sahai,78
Uriel Feige;Adi Shamir,237
Amos Fiat,117
Amos Fiat;Moni Naor,1011
Amos Fiat;Adi Shamir,2335
Rosario Gennaro,43
Rosario Gennaro,51
Oded Goldreich,61
Oded Goldreich,115
Oded Goldreich,3
Oded Goldreich,42
Oded Goldreich;Shafi Goldwasser;Silvio Micali,109
Oded Goldreich;Hugo Krawczyk,16
Oded Goldreich;Hugo Krawczyk;Michael Luby,147
Oded Goldreich;Silvio Micali;Avi Wigderson,102
Oded Goldreich;Birgit Pfitzmann;Ronald L. Rivest,48
Joe Kilian,7
Joe Kilian,2
Russell Impagliazzo;Moti Yung,162
Markus Jakobsson;Moti Yung,43
Hugo Krawczyk,258
Hugo Krawczyk,164
Hugo Krawczyk,316
Hugo Krawczyk,96
Hugo Krawczyk,149
Hugo Krawczyk,321
Silvio Micali,259
Silvio Micali;Adi Shamir,74
Moni Naor,118
Moni Naor,108
Moni Naor,470
Michael Luby,1
Rafail Ostrovsky,18
Birgit Pfitzmann;Michael Waidner,66
Bart Preneel;Paul C. van Oorschot,243
Jean-Jacques Quisquater,6
Ronald L. Rivest,3
Ronald L. Rivest,4288
Ronald L. Rivest,30
Adi Shamir,284
Adi Shamir,408
Adi Shamir,4045
Adi Shamir,49
Adi Shamir,2
Adi Shamir,113
Victor Shoup,319
Victor Shoup,145
Jacques Stern,185
Jacques Stern,72
Richard Taylor,32
David Wagner,286
Danny Dolev;Avi Wigderson,1
David Wagner,1
Paul Dourish,90
Jonathan Grudin,17
Jonathan Grudin,51
Carl Gutwin;Saul Greenberg,290
Steve Whittaker,92
Paul Dourish,178
David Garlan,7
Ran Canetti,122
Sushil Jajodia,1
Somesh Jha;Thomas W. Reps,50
Lawrence C. Paulson,346
Lawrence C. Paulson,158
Adrian Perrig;Dawn Song,96
Dexter Kozen,53
Robin Milner,19
Tobias Nipkow,48
Moshe Y. Vardi,1
Victor Vianu,1
Rajeev Alur,42
Limsoon Wong,1
Avi Wigderson,0
Ari Juels,60
Silvio Micali;Ronald L. Rivest,154
Silvio Micali;Ronald L. Rivest,98
Adi Shamir,1
Shafi Goldwasser,2
Nicholas Ayache,0
Pascal Fua,4
Michael J. Black,64
Dorin Comaniciu,79
Trevor Darrell,31
Wei-Ying Ma;B. S. Manjunath,246
Wei-Ying Ma;B. S. Manjunath,217
Pietro Perona,238
Yong Rui;Thomas S. Huang,362
Cordelia Schmid,182
Cordelia Schmid,62
Cordelia Schmid;Andrew Zisserman,208
Stefano Soatto;Pietro Perona,11
Stefano Soatto;Pietro Perona,4
Richard Szeliski,67
Krishnendu Chakrabarty,97
Srinivas Devadas,23
Srinivas Devadas,21
Srinivas Devadas;Kurt Keutzer,58
Srinivas Devadas;Kurt Keutzer;Sharad Malik,4
Srinivas Devadas;Sharad Malik,262
Andrew B. Kahng,30
George Karypis;Vipin Kumar,315
Kurt Keutzer,544
Kurt Keutzer,18
Giovanni De Micheli,3
Miodrag Potkonjak;Mani B. Srivastava,4
Miodrag Potkonjak;Mani B. Srivastava;Anantha Chandrakasan,61
Mani B. Srivastava;Miodrag Potkonjak,26
Jan M. Rabaey,3
Moshe Y. Vardi,47
Dorin Comaniciu,34
Anil K. Jain,1
Hermann Ney,1
Hermann Ney,7
Nassir Navab,1
Alex Pentland,2
Azriel Rosenfeld,5
Bernt Schiele,2
Michael Unser,6
Wolfgang Banzhaf,15
Avrim Blum,130
Kalyanmoy Deb,1
Mark Crovella,18
Ming C. Lin,17
Dieter Fox;Wolfram Burgard;Sebastian Thrun,16
Hisao Ishibuchi,0
Neil D. Jones,59
Deborah L. McGuinness,412
Kurt Mehlhorn,0
Tuomas Sandholm,2
Mahadev Satyanarayanan,9
Gurindar S. Sohi,11
Walter Willinger,13
Gerhard Weikum,22
Mary Shaw,0
Kalyanmoy Deb,17
Serge Abiteboul,0
Oded Goldreich,6
Adam Wolisz,2
Raymond Reiter,0
David Wetherall,245
Elisa Bertino,4
Christian S. Jensen,4
Philip S. Yu,93
Jeffrey D. Ullman,1
Gio Wiederhold,0
Dan Suciu,2
Beng Chin Ooi,0
Luca Benini,78
Giovanni De Micheli,103
Giovanni De Micheli;Luca Benini,112
Kevin Skadron,59
Andrew B. Kahng,22
Giovanni De Micheli,1
Jiawei Han,1
Robert Harper,17
John Mylopoulos,191
John Mylopoulos,0
Peter Buneman,12
Michael J. Carey;David J. DeWitt,47
Raymond Reiter,703
Mary Shaw,3
Michael Stonebraker,23
Michael Stonebraker,1
Michael Stonebraker,68
Jeffrey D. Ullman,2
Gio Wiederhold,35
Umeshwar Dayal,173
Diego Calvanese;Giuseppe De Giacomo;Maurizio Lenzerini;Moshe Y. Vardi,37
Luca Cardelli,1
Luca Cardelli,27
Maurizio Lenzerini,11
David Maier,29
Dan Suciu,41
Dan Suciu,24
Philip Wadler,55
Haixun Wang;Carlo Zaniolo,11
Gio Wiederhold,7
Michael Mitzenmacher,6
Kannan Ramchandran;Martin Vetterli,8
Feng Zhao,2
Christos H. Papadimitriou,2
Dieter Fensel,26
Krishnendu Chakrabarty,0
Thomas W. Reps,72
Surajit Chaudhuri,17
Haixun Wang;Carlo Zaniolo,12
Luis Gravano,6
John R. Smith,0
Michael Wooldridge,2
Serge Abiteboul,6
Hsinchun Chen,11
Didier Dubois;Henri Prade,4
John Mylopoulos,0
Fabio Casati,13
Russell H. Taylor,0
Venu Govindaraju,2
Ben Shneiderman,4
Roger Wattenhofer,1
Deborah Estrin,1
Andrzej Pelc,3
Thomas S. Huang,1
John M. Carroll,23
Peter Buneman,5
E. Allen Emerson,122
Ronald Fagin,23
Moshe Y. Vardi,262
Victor Vianu,15
Andrew Y. Ng,6
Joseph Y. Halpern,0
Jeffrey D. Ullman,5
Ben Shneiderman,114
Avrim Blum,1
Heikki Mannila,2
Karl Aberer,4
Toby Walsh,1
Maurizio Lenzerini,20
Alberto O. Mendelzon,3
Edward A. Fox,0
Giuseppe De Giacomo;Maurizio Lenzerini,149
Diego Calvanese,56
Diego Calvanese;Giuseppe De Giacomo,87
