ingredients,rating
"ice-cubes,absolut-vodka,simple-syrup,lemon-juice,blueberry,mint-leaf",50
"ice-cubes,gin,tonic-water,lemon",80
"ice-cubes,gin,anisette,lime-juice,egg-white",20
"ice-cubes,cognac,lemon-juice,pineapple-juice,simple-syrup,green-chartreuse",50
"ice-cubes,light-rum,gin,lime-juice,grenadine,soda-water,pineapple",22
"port-red,champagne",36
"crushed-ice,pineapple-juice,coconut-cream,pineapple,maraschino-berry",50
"ice-cubes,gin,dry-vermouth,orange-flavored-brandy,calvados,maraschino-berry",32
"ice-cubes,apricot-brandy,absolut-vodka,dry-vermouth,cherry-brandy",20
"ice-cubes,absolut-vodka,cherry-brandy,orange-juice,vermouth-sweet,orange",31
"ice-cubes,cognac,egg-yolk,grenadine,maraschino-liqueur",40
"ice-cubes,gin,dry-vermouth,orange-juice,orange-bitters,orange",21
"cognac,soda-water",10
"ice-cubes,pineapple-juice,green-chartreuse,lime-juice",21
"crushed-ice,ginger-ale,lemon-juice,lime-juice,basil,cucumber,mint-leaf",50
"ice-cubes,absolut-mandrin,orange-juice,grenadine,grapefruit-juice,pineapple-juice",35
"ice-cubes,absolut-orient-apple,lychee-juice,lime-juice,simple-syrup,ginger,passionfruit",50
"ice-cubes,dry-vermouth,gin,cherry-brandy,white-cacao-liqueur,chocolate",10
"ice-cubes,orange-flavored-brandy,gin,lime-juice,bitters",23
"ice-cubes,aged-rum-of-cuban-type,orange-curacao,lemon-juice,orange-juice,raspberry-puree,pineapple",30
"ice-cubes,cognac,lemon-juice,simple-syrup,orange-bitters,soda-water",40
"ice-cubes,cognac,calvados,triple-sec,lemon-juice,champagne",50
"ice-cubes,cognac,simple-syrup,champagne",30
"ice-cubes,scotch-whisky,egg-yolk,simple-syrup,champagne",10
"ice-cubes,pineapple-juice,lime-juice,orgeat-almond-syrup,pineapple",50
"ice-cubes,light-rum,grapefruit-juice,lime-juice,bitters,simple-syrup",42
"ice-cubes,absolut-vodka,benedictine-dom,bitters,orange",48
"ice-cubes,cognac,gin,calvados,lemon",10
"ice-cubes,absolut-vodka,sherry,lemon",25
"cognac,port-red",30
