players	count	points
Aaron Brooks,Carl Landry,Chase Budinger,Luis Scola,Trevor Ariza	13	4.769230769230769
Aaron Brooks,Carl Landry,Chase Budinger,Shane Battier,Trevor Ariza	4	6.75
Aaron Brooks,Carl Landry,Chuck Hayes,Kyle Lowry,Shane Battier	4	4.0
Aaron Brooks,Carl Landry,Chuck Hayes,Kyle Lowry,Trevor Ariza	7	6.285714285714286
Aaron Brooks,Carl Landry,Chuck Hayes,Luis Scola,Shane Battier	1	14.0
Aaron Brooks,Carl Landry,Chuck Hayes,Luis Scola,Von Wafer	2	2.5
Aaron Brooks,Carl Landry,Chuck Hayes,Luther Head,Mike Harris	2	5.0
Aaron Brooks,Carl Landry,Chuck Hayes,Luther Head,Rafer Alston	4	5.0
Aaron Brooks,Carl Landry,Chuck Hayes,Luther Head,Ron Artest	1	7.0
Aaron Brooks,Carl Landry,Chuck Hayes,Luther Head,Shane Battier	3	5.333333333333333
Aaron Brooks,Carl Landry,Chuck Hayes,Luther Head,Steve Novak	3	7.0
Aaron Brooks,Carl Landry,Chuck Hayes,Luther Head,Tracy McGrady	5	8.2
Aaron Brooks,Carl Landry,Chuck Hayes,Luther Head,Von Wafer	5	7.2
Aaron Brooks,Carl Landry,Chuck Hayes,Mike Harris,Shane Battier	1	7.0
Aaron Brooks,Carl Landry,Chuck Hayes,Mike Harris,Steve Novak	1	6.0
Aaron Brooks,Carl Landry,Chuck Hayes,Mike James,Steve Novak	1	13.0
Aaron Brooks,Carl Landry,Chuck Hayes,Rafer Alston,Shane Battier	2	7.5
Aaron Brooks,Carl Landry,Chuck Hayes,Rafer Alston,Tracy McGrady	2	5.5
Aaron Brooks,Carl Landry,Chuck Hayes,Rafer Alston,Von Wafer	2	9.5
Aaron Brooks,Carl Landry,Chuck Hayes,Ron Artest,Shane Battier	4	2.5
Aaron Brooks,Carl Landry,Chuck Hayes,Ron Artest,Tracy McGrady	2	3.0
Aaron Brooks,Carl Landry,Chuck Hayes,Ron Artest,Von Wafer	3	6.666666666666667
Aaron Brooks,Carl Landry,Chuck Hayes,Shane Battier,Tracy McGrady	4	3.5
Aaron Brooks,Carl Landry,Chuck Hayes,Shane Battier,Trevor Ariza	13	8.0
Aaron Brooks,Carl Landry,Chuck Hayes,Shane Battier,Von Wafer	2	7.0
Aaron Brooks,Carl Landry,Chuck Hayes,Tracy McGrady,Von Wafer	3	2.0
Aaron Brooks,Carl Landry,David Andersen,Jermaine Taylor,Kyle Lowry	3	3.6666666666666665
Aaron Brooks,Carl Landry,David Andersen,Kyle Lowry,Shane Battier	10	8.9
Aaron Brooks,Carl Landry,David Andersen,Kyle Lowry,Trevor Ariza	15	5.666666666666667
Aaron Brooks,Carl Landry,David Andersen,Shane Battier,Trevor Ariza	5	5.6
Aaron Brooks,Carl Landry,David Andersen,Tracy McGrady,Trevor Ariza	1	4.0
Aaron Brooks,Carl Landry,Dikembe Mutombo,Ron Artest,Von Wafer	1	2.0
Aaron Brooks,Carl Landry,Dikembe Mutombo,Shane Battier,Tracy McGrady	1	2.0
Aaron Brooks,Carl Landry,Joey Dorsey,Kyle Lowry,Trevor Ariza	1	3.0
